date,country,pollution
2025-04-19,BE,16503259.06689283
2025-04-19,DE,4950048.454497125
2025-04-19,DK,1004760.612970875
2025-04-19,FR,1644202.768449625
2025-04-19,GB,12177369.128275001
2025-04-19,INTERNATIONAL,41451313.55534971
2025-04-19,NL,3140593.3577358443
2025-04-19,NO,0.0
2025-04-19,SE,1286415.247348
2025-04-20,BE,14065918.169638375
2025-04-20,DE,8007785.092341125
2025-04-20,DK,2334072.1403075694
2025-04-20,FR,710174.906211625
2025-04-20,GB,9251063.245122
2025-04-20,INTERNATIONAL,32953315.853361886
2025-04-20,NL,3553681.1918953857
2025-04-20,NO,81222.4458045
2025-04-20,SE,896387.549178125
2025-04-21,BE,18924721.493977
2025-04-21,DE,6403104.3352855
2025-04-21,DK,3453862.237487875
2025-04-21,FR,1779483.063821375
2025-04-21,GB,12964501.78226
2025-04-21,INTERNATIONAL,47249253.73446807
2025-04-21,NL,6612662.615304917
2025-04-21,NO,1268179.6355225001
2025-04-21,SE,3416261.40704325
2025-04-22,BE,24668535.961931624
2025-04-22,DE,4571781.534581416
2025-04-22,DK,21641675.38956075
2025-04-22,FR,1855724.8074622499
2025-04-22,GB,9568926.134529876
2025-04-22,INTERNATIONAL,49523560.37142124
2025-04-22,NL,12734239.112067249
2025-04-22,NO,4749908.5440125
2025-04-22,SE,2307435.575983625
2025-04-23,BE,12325250.386277376
2025-04-23,DE,5393452.2007885
2025-04-23,DK,3422907.859167375
2025-04-23,FR,4072926.87356225
2025-04-23,GB,47180538.014628746
2025-04-23,INTERNATIONAL,45515442.092984125
2025-04-23,NL,8287969.042836625
2025-04-23,NO,3370362.29547
2025-04-23,SE,762127.358262375
2025-04-24,BE,27254874.618633375
2025-04-24,DE,5773966.05043925
2025-04-24,DK,13712989.76760075
2025-04-24,FR,6851078.6751752505
2025-04-24,GB,6631272.6421605
2025-04-24,INTERNATIONAL,55252584.3876254
2025-04-24,NL,12682661.32588075
2025-04-24,NO,203288.41790612502
2025-04-24,SE,229526.2285355
2025-04-25,BE,15190035.407955375
2025-04-25,DE,6886959.0850465
2025-04-25,DK,5706110.76716175
2025-04-25,FR,5123300.10133175
2025-04-25,GB,5855648.134375
2025-04-25,INTERNATIONAL,56631677.15433179
2025-04-25,NL,34930418.5541515
2025-04-25,NO,1427402.0669276249
2025-04-25,SE,3076106.18619325
2025-04-26,BE,18775263.6609
2025-04-26,DE,8047172.224347
2025-04-26,DK,10295255.563583625
2025-04-26,FR,4444595.316033625
2025-04-26,GB,39514953.87891625
2025-04-26,INTERNATIONAL,63735513.64340287
2025-04-26,NL,19355635.23646275
2025-04-26,NO,6239350.547431501
2025-04-26,SE,603293.3976225
2025-04-27,BE,13970922.9962955
2025-04-27,DE,5282713.494078687
2025-04-27,DK,7213473.956088206
2025-04-27,FR,1748791.7743809097
2025-04-27,GB,10752811.58154325
2025-04-27,INTERNATIONAL,73818373.75680457
2025-04-27,NL,13006593.41296275
2025-04-27,NO,4727539.4298209995
2025-04-27,SE,515799.41074225
2025-04-28,BE,10334619.2183405
2025-04-28,DE,3926456.271009229
2025-04-28,DK,3013069.315482625
2025-04-28,FR,813551.5745725001
2025-04-28,GB,3197908.190213192
2025-04-28,INTERNATIONAL,67600323.95550886
2025-04-28,NL,15243063.846126562
2025-04-28,NO,2328913.2248018747
2025-04-28,SE,1865830.888790125
2025-04-29,BE,10258523.7625865
2025-04-29,DE,6400861.521110125
2025-04-29,DK,9656632.20977446
2025-04-29,FR,1961928.8168730002
2025-04-29,GB,10491289.493269056
2025-04-29,INTERNATIONAL,60500431.49435613
2025-04-29,NL,8823034.286126819
2025-04-29,NO,708266.954475875
2025-04-29,SE,1506349.758905875
2025-04-30,BE,5889847.356342611
2025-04-30,DE,3445244.287407656
2025-04-30,DK,934400.7932405
2025-04-30,FR,370584.203640375
2025-04-30,GB,8027391.1100153
2025-04-30,INTERNATIONAL,54403805.58867332
2025-04-30,NL,8089722.626146708
2025-04-30,NO,301374.818203375
2025-04-30,SE,4486251.922578624
2025-05-01,BE,6851740.94370275
2025-05-01,DE,1856155.5364643645
2025-05-01,DK,663109.554972125
2025-05-01,FR,2184419.4504875
2025-05-01,GB,5953807.91749934
2025-05-01,INTERNATIONAL,83310503.06674992
2025-05-01,NL,30685384.059817623
2025-05-01,NO,159380.739967125
2025-05-01,SE,1027352.187244875
2025-05-02,BE,13281179.3138545
2025-05-02,DE,5008693.303375208
2025-05-02,DK,2369491.2884871964
2025-05-02,FR,9637261.88705475
2025-05-02,GB,8272160.83330475
2025-05-02,INTERNATIONAL,56491739.49730485
2025-05-02,NL,18581291.004100375
2025-05-02,NO,492105.65163862496
2025-05-02,SE,1626976.696518
2025-05-03,BE,13571772.17909375
2025-05-03,DE,4080559.581553521
2025-05-03,DK,1012931.2934395894
2025-05-03,FR,394207.110048
2025-05-03,GB,9049424.3136805
2025-05-03,INTERNATIONAL,73599410.2809503
2025-05-03,NL,26328510.198620502
2025-05-03,NO,8437.19345925
2025-05-03,SE,7331021.902136375
2025-05-04,BE,15444076.3472265
2025-05-04,DE,12733450.575008376
2025-05-04,DK,1281192.9890067605
2025-05-04,FR,169863.06920237502
2025-05-04,GB,8610010.101136
2025-05-04,INTERNATIONAL,71446433.46194401
2025-05-04,NL,15415893.709985543
2025-05-04,NO,3307610.41850175
2025-05-04,SE,8415626.295856126
2025-05-05,BE,20563441.20552725
2025-05-05,DE,7965700.64064975
2025-05-05,DK,233947.25096606778
2025-05-05,FR,176211.2069195
2025-05-05,GB,5621028.701169625
2025-05-05,INTERNATIONAL,62200214.525910996
2025-05-05,NL,18137814.053397812
2025-05-05,NO,285284.78133525
2025-05-05,SE,5298587.4587624995
2025-05-06,BE,17839572.129357625
2025-05-06,DE,5632771.0681656245
2025-05-06,DK,574331.4961778667
2025-05-06,FR,2318284.208728125
2025-05-06,GB,10417591.2604225
2025-05-06,INTERNATIONAL,83208679.36099347
2025-05-06,NL,24163696.831556864
2025-05-06,NO,421338.26030799997
2025-05-06,SE,2816553.597693375
2025-05-07,BE,15296488.3088025
2025-05-07,DE,4417095.177994333
2025-05-07,DK,1076087.1916747927
2025-05-07,FR,3671580.9797394997
2025-05-07,GB,8258524.0630455
2025-05-07,INTERNATIONAL,85082236.66440171
2025-05-07,NL,23469356.367328625
2025-05-07,NO,0.0
2025-05-07,SE,901853.23994925
2025-05-08,BE,14322161.596184729
2025-05-08,DE,7955556.5814935835
2025-05-08,DK,1401583.24701575
2025-05-08,FR,2170215.115199375
2025-05-08,GB,5271504.471274124
2025-05-08,INTERNATIONAL,86454113.72990072
2025-05-08,NL,25240272.16882375
2025-05-08,NO,222297.60984975
2025-05-08,SE,963642.545144875
2025-05-09,BE,23758252.098001998
2025-05-09,DE,7314998.710057343
2025-05-09,DK,1379173.84758525
2025-05-09,FR,5486320.217807501
2025-05-09,GB,6186962.292999849
2025-05-09,INTERNATIONAL,90265923.64296882
2025-05-09,NL,19139585.060538
2025-05-09,NO,85837.787767125
2025-05-09,SE,1303181.890215
2025-05-10,BE,19808548.084072717
2025-05-10,DE,8562297.433274927
2025-05-10,DK,1527733.06533725
2025-05-10,FR,2232630.204126125
2025-05-10,GB,4078321.109680125
2025-05-10,INTERNATIONAL,83586752.9892336
2025-05-10,NL,16932660.038201127
2025-05-10,NO,144393.75714075
2025-05-10,SE,1073242.901007375
2025-05-11,BE,17821747.471146125
2025-05-11,DE,5999337.712675625
2025-05-11,DK,1920369.4391118735
2025-05-11,FR,1223983.762002375
2025-05-11,GB,9406460.7684475
2025-05-11,INTERNATIONAL,111971819.14184728
2025-05-11,NL,25568659.803265873
2025-05-11,NO,362535.67526987504
2025-05-11,SE,32944.898349999996
2025-05-12,BE,27803871.916853875
2025-05-12,DE,7328944.242439
2025-05-12,DK,1468416.457033339
2025-05-12,FR,372725.2935479999
2025-05-12,GB,11154358.254825125
2025-05-12,INTERNATIONAL,81212969.07813509
2025-05-12,NL,18640925.8406095
2025-05-12,NO,10445669.270428874
2025-05-12,SE,1002124.203488
2025-05-13,BE,15443580.127568625
2025-05-13,DE,4840651.906312875
2025-05-13,DK,1765675.990767375
2025-05-13,FR,2104771.38909925
2025-05-13,GB,6854389.690589349
2025-05-13,INTERNATIONAL,94349516.4372356
2025-05-13,NL,31077140.68322175
2025-05-13,NO,10734744.688678626
2025-05-13,SE,858609.151649375
2025-05-14,BE,29115456.847962625
2025-05-14,DE,4012745.6933455104
2025-05-14,DK,1374331.233016625
2025-05-14,FR,124934.32890900002
2025-05-14,GB,9945342.946041107
2025-05-14,INTERNATIONAL,134335918.4122026
2025-05-14,NL,23797101.696586125
2025-05-14,NO,3723911.568072
2025-05-14,SE,331062.629079
2025-05-15,BE,8945731.307973124
2025-05-15,DE,5585650.784719813
2025-05-15,DK,1452439.599371625
2025-05-15,FR,1943408.1965911249
2025-05-15,GB,9270657.652346104
2025-05-15,INTERNATIONAL,124490328.39972563
2025-05-15,NL,34248954.09994737
2025-05-15,NO,0.0
2025-05-15,SE,269179.022905
2025-05-16,BE,24036075.453367375
2025-05-16,DE,5148677.04591225
2025-05-16,DK,1257874.6352479956
2025-05-16,FR,3844265.61572025
2025-05-16,GB,7699882.1108122505
2025-05-16,INTERNATIONAL,59860767.09827152
2025-05-16,NL,23120746.83206625
2025-05-16,NO,239376.10701675
2025-05-16,SE,877925.3350915
2025-05-17,BE,16709977.646304002
2025-05-17,DE,5865381.617696375
2025-05-17,DK,2106452.5459455666
2025-05-17,FR,1700968.603244125
2025-05-17,GB,23569284.781261
2025-05-17,INTERNATIONAL,71666966.33553609
2025-05-17,NL,26312115.485816374
2025-05-17,NO,238716.87345175
2025-05-17,SE,4119444.094744625
2025-05-18,BE,12784344.32195375
2025-05-18,DE,6045936.591898875
2025-05-18,DK,986050.2177818167
2025-05-18,FR,1147420.265057
2025-05-18,GB,8805878.90352725
2025-05-18,INTERNATIONAL,82373188.7782648
2025-05-18,NL,18570977.171612125
2025-05-18,NO,2478887.16295725
2025-05-18,SE,4474088.56152125
