country,total_pollution_kg,total_hours,avg_hourly_rate_kg_per_hour
BE,501559789.3987249,3206212.29999055,1268.2969842902269
DE,179444148.75396946,3206212.29999055,1268.2969842902269
DK,106240401.95536523,3206212.29999055,1268.2969842902269
FR,72279813.78499842,3206212.29999055,1268.2969842902269
GB,334039263.5073702,3206212.29999055,1268.2969842902269
INTERNATIONAL,2184543076.489865,3206212.29999055,1268.2969842902269
NL,565891359.7131934,3206212.29999055,1268.2969842902269
NO,58756335.92621963,3206212.29999055,1268.2969842902269
SE,63675201.54254,3206212.29999055,1268.2969842902269
