ship_type,has_scrubber,position_count
0,False,104781071
0,True,112472
1,False,5912423
10,False,141904
101,False,204
11,False,3776317
117,False,15903658
12,False,1656102
122,False,1
123,False,393183
128,False,1312265
148,False,2
155,False,225984
158,False,3057425
160,False,2
162,False,70821
183,False,29
188,False,15834828
19,False,72522
198,False,82244
2,False,344560
20,False,7185936
207,False,106058
21,False,4739
24,False,28288
29,False,18834624
3,False,800266
30,False,1143182899
31,False,156977581
32,False,2693875
33,False,589989960
33,True,22337425
34,False,15764705
35,False,8072441
36,False,46521678
37,False,15829413
38,False,3986489
39,False,13071109
4,False,71172
40,False,270610564
43,False,1627136
45,False,39558570
48,False,11908338
49,False,10195503
50,False,104785901
51,False,107599650
52,False,2623902809
53,False,17667759
54,False,61521657
55,False,65480735
56,False,13126158
57,False,1582938
58,False,302805
59,False,23468202
6,False,42404
60,False,780751990
60,True,50893163
61,False,9293392
61,True,26797815
62,False,16157017
62,True,42294
63,False,16637707
64,False,20788850
65,False,26248115
66,False,8683620
68,False,114890
69,False,159784939
69,True,8981714
70,False,1193776849
70,True,88840892
71,False,207149993
71,True,94994880
72,False,12079724
72,True,14408334
73,False,12643953
73,True,9892687
74,False,43354540
74,True,12771513
75,False,33602622
76,False,5040195
77,False,2960761
78,False,3196652
78,True,2571918
79,False,337382735
79,True,62551839
80,False,401282414
80,True,20904316
81,False,25658698
81,True,216798
82,False,48074306
82,True,5043123
83,False,12662407
84,False,23634055
84,True,1220622
85,False,2712976
85,True,141474
87,False,135272
88,False,7431421
88,True,126648
89,False,193825958
89,True,5387829
9,False,10871595
9,True,112268
90,False,698139384
90,True,14157398
91,False,245411
92,False,21195
93,False,447225
94,False,2269857
95,False,3064115
96,False,30594210
97,False,1252542
98,False,11633081
99,False,283158367
