port_name,scrubber_status
LYNESS,0
LONDON,0
HARWICH,0
GRIMSBY,0
IMMINGHAM,0
KINGSTON UPON HULL,0
ROTTERDAM,0
HAMBURG,1
CUXHAVEN,0
BREMERHAVEN,0
BRAKE,1
BREMEN,1
EMDEN,0
DUNKERQUE PORT,1
AMSTERDAM,1
THYBORON,2
FREDERIKSHAVN,2
SKAGEN HAVN,2
HIRTSHALS,2
SUNDERLAND,0
TYNEMOUTH,0
BLYTH,0
LEITH,1
DUNDEE,1
ABERDEEN,0
PETERHEAD,0
TEESPORT,0
ANTWERPEN,1
GHENT,1
ZEEBRUGGE,1
HAUGESUND,0
STAVANGER,1
PORSGRUNN,0
HORTEN,0
DRAMMEN,0
OSLO,0
MONGSTAD,0
BERGEN,0
CALAIS,1
GOTEBORG,2
MOERDIJK,0
NORTH SEA PORT,0
GRONINGEN SEAPORTS,0
TILBURY,1
